crate,config,lto,opt,panic,rule,n_fdes,n_gt_known,n_gt_excluded_unknown_or_conflict,coverage,ambiguous_fraction,predicted_author,predicted_dep,actual_author,actual_workspace,actual_dep,actual_std,tp_author,tp_dep,precision_author,precision_dep,recall_author_excl,recall_author_ambig_err,recall_dep_excl,recall_dep_ambig_err
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,B@1,5976,5692,284,0.16164658634538154,0.0,19,947,196,0,2851,2645,18,589,0.9473684210526315,0.6219640971488912,0.09183673469387756,0.09183673469387756,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,B@2,5976,5692,284,0.16164658634538154,0.002008032128514056,7,947,196,0,2851,2645,7,589,1.0,0.6219640971488912,0.03783783783783784,0.03571428571428571,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,B@3,5976,5692,284,0.16164658634538154,0.0023427041499330657,5,947,196,0,2851,2645,5,589,1.0,0.6219640971488912,0.0273224043715847,0.025510204081632654,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,B@4,5976,5692,284,0.16164658634538154,0.002677376171352075,3,947,196,0,2851,2645,3,589,1.0,0.6219640971488912,0.016574585635359115,0.015306122448979591,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,B@5,5976,5692,284,0.16164658634538154,0.002677376171352075,3,947,196,0,2851,2645,3,589,1.0,0.6219640971488912,0.016574585635359115,0.015306122448979591,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,B@6,5976,5692,284,0.16164658634538154,0.002677376171352075,3,947,196,0,2851,2645,3,589,1.0,0.6219640971488912,0.016574585635359115,0.015306122448979591,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.10,5976,5692,284,0.16164658634538154,0.0,26,940,196,0,2851,2645,25,589,0.9615384615384616,0.6265957446808511,0.12755102040816327,0.12755102040816327,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.20,5976,5692,284,0.16164658634538154,0.0,24,942,196,0,2851,2645,23,589,0.9583333333333334,0.6252653927813163,0.11734693877551021,0.11734693877551021,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.30,5976,5692,284,0.16164658634538154,0.0,23,943,196,0,2851,2645,22,589,0.9565217391304348,0.6246023329798516,0.11224489795918367,0.11224489795918367,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.40,5976,5692,284,0.16164658634538154,0.0,22,944,196,0,2851,2645,21,589,0.9545454545454546,0.6239406779661016,0.10714285714285714,0.10714285714285714,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.50,5976,5692,284,0.16164658634538154,0.0,21,945,196,0,2851,2645,20,589,0.9523809523809523,0.6232804232804233,0.10204081632653061,0.10204081632653061,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.60,5976,5692,284,0.16164658634538154,0.0,19,947,196,0,2851,2645,18,589,0.9473684210526315,0.6219640971488912,0.09183673469387756,0.09183673469387756,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.70,5976,5692,284,0.16164658634538154,0.0,19,947,196,0,2851,2645,18,589,0.9473684210526315,0.6219640971488912,0.09183673469387756,0.09183673469387756,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.80,5976,5692,284,0.16164658634538154,0.0,19,947,196,0,2851,2645,18,589,0.9473684210526315,0.6219640971488912,0.09183673469387756,0.09183673469387756,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-abort,fat,z,abort,C@0.90,5976,5692,284,0.16164658634538154,0.0,17,949,196,0,2851,2645,16,589,0.9411764705882353,0.6206533192834562,0.08163265306122448,0.08163265306122448,0.2065941774815854,0.2065941774815854
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,A@1,6514,6227,287,0.14998464844949339,0.0,19,958,196,0,2913,3118,18,594,0.9473684210526315,0.6200417536534447,0.09183673469387756,0.09183673469387756,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,A@2,6514,6227,287,0.14998464844949339,0.0016886705557261283,8,958,196,0,2913,3118,8,594,1.0,0.6200417536534447,0.043010752688172046,0.04081632653061224,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,A@3,6514,6227,287,0.14998464844949339,0.0019957015658581515,6,958,196,0,2913,3118,6,594,1.0,0.6200417536534447,0.03260869565217391,0.030612244897959183,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,A@4,6514,6227,287,0.14998464844949339,0.0021492170709241634,5,958,196,0,2913,3118,5,594,1.0,0.6200417536534447,0.0273224043715847,0.025510204081632654,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,A@5,6514,6227,287,0.14998464844949339,0.002302732575990175,4,958,196,0,2913,3118,4,594,1.0,0.6200417536534447,0.02197802197802198,0.02040816326530612,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,A@6,6514,6227,287,0.14998464844949339,0.002456248081056187,3,958,196,0,2913,3118,3,594,1.0,0.6200417536534447,0.016574585635359115,0.015306122448979591,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,B@1,6514,6227,287,0.14998464844949339,0.0,21,956,196,0,2913,3118,20,594,0.9523809523809523,0.6213389121338913,0.10204081632653061,0.10204081632653061,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,B@2,6514,6227,287,0.14998464844949339,0.0016886705557261283,10,956,196,0,2913,3118,10,594,1.0,0.6213389121338913,0.053763440860215055,0.05102040816326531,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,B@3,6514,6227,287,0.14998464844949339,0.0021492170709241634,7,956,196,0,2913,3118,7,594,1.0,0.6213389121338913,0.03825136612021858,0.03571428571428571,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,B@4,6514,6227,287,0.14998464844949339,0.002302732575990175,6,956,196,0,2913,3118,6,594,1.0,0.6213389121338913,0.03296703296703297,0.030612244897959183,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,B@5,6514,6227,287,0.14998464844949339,0.002456248081056187,5,956,196,0,2913,3118,5,594,1.0,0.6213389121338913,0.027624309392265192,0.025510204081632654,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,B@6,6514,6227,287,0.14998464844949339,0.0026097635861221983,4,956,196,0,2913,3118,4,594,1.0,0.6213389121338913,0.022222222222222223,0.02040816326530612,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.10,6514,6227,287,0.14998464844949339,0.0,28,949,196,0,2913,3118,27,594,0.9642857142857143,0.6259220231822972,0.1377551020408163,0.1377551020408163,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.20,6514,6227,287,0.14998464844949339,0.0,26,951,196,0,2913,3118,25,594,0.9615384615384616,0.6246056782334385,0.12755102040816327,0.12755102040816327,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.30,6514,6227,287,0.14998464844949339,0.0,23,954,196,0,2913,3118,22,594,0.9565217391304348,0.6226415094339622,0.11224489795918367,0.11224489795918367,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.40,6514,6227,287,0.14998464844949339,0.0,23,954,196,0,2913,3118,22,594,0.9565217391304348,0.6226415094339622,0.11224489795918367,0.11224489795918367,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.50,6514,6227,287,0.14998464844949339,0.0,22,955,196,0,2913,3118,21,594,0.9545454545454546,0.6219895287958115,0.10714285714285714,0.10714285714285714,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.60,6514,6227,287,0.14998464844949339,0.0,22,955,196,0,2913,3118,21,594,0.9545454545454546,0.6219895287958115,0.10714285714285714,0.10714285714285714,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.70,6514,6227,287,0.14998464844949339,0.0,21,956,196,0,2913,3118,20,594,0.9523809523809523,0.6213389121338913,0.10204081632653061,0.10204081632653061,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.80,6514,6227,287,0.14998464844949339,0.0,21,956,196,0,2913,3118,20,594,0.9523809523809523,0.6213389121338913,0.10204081632653061,0.10204081632653061,0.203913491246138,0.203913491246138
oxker,lto-fat_opt-z_panic-unwind,fat,z,unwind,C@0.90,6514,6227,287,0.14998464844949339,0.0,19,958,196,0,2913,3118,18,594,0.9473684210526315,0.6200417536534447,0.09183673469387756,0.09183673469387756,0.203913491246138,0.203913491246138
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,A@1,4384,4166,218,0.30200729927007297,0.0,6,1318,153,0,2235,1778,6,790,1.0,0.5993930197268589,0.0392156862745098,0.0392156862745098,0.3534675615212528,0.3534675615212528
oxker,lto-thin_opt-3_panic-abort,thin,3,abort,A@2,4384,4166,218,0.30200729927007297,0.0009124087591240876,2,1318,153,0,2235,1778,2,790,1.0,0.5993930197268589,0.013422818791946308,0.013071895424836602,0.3534675615212528,0.3534675615212528
